Step,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1
8.0,0.3541666666666667,0.3541666666666667,0.3109960892569588,0.35714285714285715,0.08695652173913043,0.4888888888888889
4.0,0.3541666666666667,0.3541666666666667,0.36236559139784946,0.38709677419354843,0.39999999999999997,0.3
2.0,0.3541666666666667,0.3541666666666667,0.2994107217355027,0.3125,0.11764705882352941,0.4680851063829787
8.0,0.3125,0.3125,0.320942140296979,0.5333333333333333,0.17142857142857143,0.2580645161290323
9.0,0.3541666666666667,0.3541666666666667,0.33898448043184887,0.47368421052631576,0.3125,0.23076923076923075
8.0,0.4166666666666667,0.4166666666666667,0.4069444444444444,0.45,0.3333333333333333,0.4375
4.0,0.3125,0.3125,0.31470588235294117,0.25,0.29411764705882354,0.39999999999999997
8.0,0.375,0.375,0.3739410231345715,0.42424242424242425,0.3225806451612903,0.375
6.0,0.375,0.375,0.3516927516927517,0.5142857142857142,0.18181818181818182,0.358974358974359
10.0,0.4375,0.4375,0.41477607061131083,0.45714285714285713,0.26086956521739124,0.5263157894736842
7.0,0.375,0.375,0.37030209933435737,0.38709677419354843,0.26666666666666666,0.45714285714285713
6.0,0.4583333333333333,0.4583333333333333,0.45228561895228553,0.4864864864864864,0.5,0.3703703703703703
9.0,0.3125,0.3125,0.2962962962962962,0.33333333333333326,0.16666666666666666,0.38888888888888884
2.0,0.375,0.375,0.35904095904095906,0.34285714285714286,0.2727272727272727,0.46153846153846156
4.0,0.4166666666666667,0.4166666666666667,0.413997113997114,0.39999999999999997,0.35714285714285715,0.48484848484848486
2.0,0.3333333333333333,0.3333333333333333,0.294646873594242,0.3684210526315789,0.10526315789473684,0.41025641025641024
10.0,0.2708333333333333,0.2708333333333333,0.2716273442226255,0.27586206896551724,0.27586206896551724,0.2631578947368421
3.0,0.375,0.375,0.36310728744939275,0.23076923076923075,0.4375,0.4210526315789474
3.0,0.4166666666666667,0.4166666666666667,0.37393500219587167,0.48484848484848486,0.08695652173913043,0.5499999999999999
5.0,0.4791666666666667,0.4791666666666667,0.4775458570524984,0.5806451612903225,0.3225806451612903,0.5294117647058824
4.0,0.5,0.5,0.48717948717948717,0.42857142857142855,0.4615384615384615,0.5714285714285714
2.0,0.4375,0.4375,0.4320191158900836,0.45161290322580644,0.4,0.4444444444444445
9.0,0.4375,0.4375,0.4270482603815937,0.48484848484848486,0.2962962962962963,0.5
4.0,0.3125,0.3125,0.3133349625285109,0.375,0.3225806451612903,0.24242424242424243
3.0,0.375,0.375,0.3543402225755166,0.4324324324324324,0.16,0.47058823529411764
6.0,0.4375,0.4375,0.420379403794038,0.48780487804878053,0.24000000000000005,0.5333333333333333
5.0,0.375,0.375,0.38151499916205794,0.29411764705882354,0.4615384615384615,0.38888888888888884
5.0,0.4166666666666667,0.4166666666666667,0.3829564346063628,0.48780487804878053,0.19047619047619047,0.47058823529411764
3.0,0.4166666666666667,0.4166666666666667,0.41397058823529415,0.5294117647058824,0.39999999999999997,0.3125
8.0,0.3958333333333333,0.3958333333333333,0.3913773913773914,0.30303030303030304,0.38461538461538464,0.4864864864864864
9.0,0.4583333333333333,0.4583333333333333,0.45513533555802743,0.45161290322580644,0.41379310344827586,0.5
3.0,0.4166666666666667,0.4166666666666667,0.3828282828282828,0.5,0.4666666666666667,0.18181818181818182
3.0,0.2916666666666667,0.2916666666666667,0.298113763631005,0.5,0.13793103448275862,0.2564102564102564
10.0,0.3125,0.3125,0.2923076923076923,0.39999999999999997,0.07692307692307693,0.4
4.0,0.2916666666666667,0.2916666666666667,0.28893520272830614,0.30769230769230765,0.21428571428571427,0.3448275862068966
4.0,0.375,0.375,0.35014581124072114,0.4375,0.17391304347826086,0.43902439024390244
4.0,0.4166666666666667,0.4166666666666667,0.4098387526379413,0.5294117647058824,0.27586206896551724,0.42424242424242425
6.0,0.4375,0.4375,0.42826005729231537,0.38709677419354843,0.35714285714285715,0.5405405405405405
3.0,0.2708333333333333,0.2708333333333333,0.24862401100791195,0.3684210526315789,0.08333333333333333,0.29411764705882354
6.0,0.4791666666666667,0.4791666666666667,0.46810341119284216,0.5714285714285715,0.2962962962962963,0.5365853658536586
5.0,0.4166666666666667,0.4166666666666667,0.41531198686371096,0.375,0.41379310344827586,0.45714285714285713
9.0,0.2708333333333333,0.2708333333333333,0.26207082658695563,0.37837837837837834,0.21428571428571427,0.19354838709677422
3.0,0.3125,0.3125,0.28362209872507355,0.4210526315789474,0.08695652173913043,0.34285714285714286
3.0,0.4166666666666667,0.4166666666666667,0.41888341543513957,0.34285714285714286,0.41379310344827586,0.5
6.0,0.3541666666666667,0.3541666666666667,0.3407194550872712,0.27586206896551724,0.2962962962962963,0.45
10.0,0.4166666666666667,0.4166666666666667,0.4133128520225295,0.45714285714285713,0.26666666666666666,0.5161290322580646
10.0,0.3958333333333333,0.3958333333333333,0.3959595959595959,0.3636363636363636,0.39999999999999997,0.42424242424242425
