Epoch,Training Loss,Validation Loss,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1
39.0,0.17338892817497253,1.1457997560501099,0.4583333333333333,0.4583333333333333,0.45964052287581697,0.5333333333333333,0.375,0.47058823529411764
22.0,0.3810514509677887,1.09070885181427,0.5208333333333334,0.5208333333333334,0.5346161101678929,0.4210526315789474,0.5161290322580646,0.6666666666666666
9.0,0.7936533689498901,1.058635950088501,0.5208333333333334,0.5208333333333334,0.5072351254016519,0.5853658536585366,0.38461538461538464,0.5517241379310345
5.0,0.8874531388282776,1.0805267095565796,0.5,0.5,0.5048238482384825,0.56,0.4666666666666667,0.48780487804878053
16.0,0.3952902853488922,1.3142133951187134,0.3958333333333333,0.3958333333333333,0.39642401021711365,0.4444444444444444,0.4,0.3448275862068966
46.0,0.08922864496707916,1.3322557210922241,0.3541666666666667,0.3541666666666667,0.32760725864174145,0.14285714285714288,0.27586206896551724,0.5641025641025642
5.0,0.8686023354530334,1.1628044843673706,0.3958333333333333,0.3958333333333333,0.3817460317460317,0.25,0.4666666666666667,0.4285714285714286
12.0,0.462045818567276,1.0026259422302246,0.5625,0.5625,0.5634978820462692,0.5806451612903225,0.48484848484848486,0.625
2.0,1.2071031332015991,1.0763165950775146,0.5,0.5,0.48832165498832164,0.5,0.5945945945945946,0.3703703703703703
31.0,0.13529053330421448,1.004056453704834,0.6666666666666666,0.6666666666666666,0.6709656084656085,0.7142857142857143,0.6111111111111112,0.6875
52.0,0.056416429579257965,1.5536441802978516,0.4375,0.4375,0.42940685045948196,0.42857142857142855,0.3333333333333333,0.5263157894736842
15.0,0.44609206914901733,1.2118526697158813,0.5208333333333334,0.5208333333333334,0.5027825027825028,0.6060606060606061,0.3076923076923077,0.5945945945945946
24.0,0.20685583353042603,1.1145395040512085,0.4583333333333333,0.4583333333333333,0.45667839785486847,0.35294117647058826,0.4615384615384615,0.5555555555555556
5.0,0.9145219922065735,1.1111465692520142,0.4583333333333333,0.4583333333333333,0.42272051752775597,0.5161290322580646,0.5853658536585366,0.16666666666666666
6.0,0.8245736360549927,1.199602484703064,0.4166666666666667,0.4166666666666667,0.3883257139071093,0.5581395348837209,0.38461538461538464,0.2222222222222222
23.0,0.247370645403862,1.1506894826889038,0.4583333333333333,0.4583333333333333,0.427960927960928,0.35714285714285715,0.6190476190476191,0.3076923076923077
19.0,0.2766079902648926,1.2443346977233887,0.3541666666666667,0.3541666666666667,0.35261335464175225,0.47058823529411764,0.3448275862068966,0.24242424242424243
11.0,0.5083874464035034,1.150848388671875,0.4583333333333333,0.4583333333333333,0.44113592500689275,0.45161290322580644,0.5641025641025642,0.3076923076923077
8.0,0.6683377623558044,1.1181308031082153,0.4583333333333333,0.4583333333333333,0.43673743673743676,0.23076923076923075,0.5945945945945946,0.48484848484848486
